things_id,title,primary_url,other_urls,cluster,topic,proposed_skill,source_type,source_role,quality,actionability,dedupe_group,cluster_reason,second_pass_status,notes
A2qYFTpTNwJ87VF9JZu7wH,"""srcset"" ist eine gute Wahl für Responsive Images",https://css-tricks.com/responsive-images-youre-just-changing-resolutions-use-srcset/,http://caniuse.com/#search=srcset,frontend-ui-01.md,responsive-images-srcset-resolution-switching-and-current-docs-pairing,responsive-design,expert_article,secondary,high,high,css-tricks-com-responsive-images-youre-just-changing-resolutions-use-srcset,Durable responsive image `srcset` concept with Can I Use lookup; pair with current primary docs.,secondary,"Secondary for responsive-design with network-performance cross-reference: durable srcset/resolution-switching concept source, but pair with newer primary image sources such as web.dev Learn Images and LCP image guidance for current browser behavior and delivery rules."
GrwsAoykPLsoyNE3xaWExr,5 Accessibility Quick Wins You Can Implement Today,https://css-tricks.com/5-accessibility-quick-wins-you-can-implement-today/,,frontend-ui-01.md,html-accessibility-and-interaction,core-html-a11y,expert_article,secondary,high,high,css-tricks-com-5-accessibility-quick-wins-you-can-implement-today,Practical accessibility quick wins for UI guidance.,primary,User prefers explanatory practice articles as primary when they explain why and how better than specs/MDN.
KgRaFQXYaM27sqK6Amk67w,6 CSS snippets every front-end developer should know in 2023,https://web.dev/6-css-snippets-every-front-end-developer-should-know-in-2023/?ck_subscriber_id=1866528194&utm_source=convertkit&utm_medium=email&utm_campaign=%E2%9A%9B%EF%B8%8F+This+Week+In+React+%23139%3A+React.dev%2C+Remix%2C+next+export%2C+Server+Components%2C+i18n%2C+Error+Boundary%2C+Wakuwork%2C+Astro%2C+React-Native%2C+Bottom+Sheet%2C+TypeScript%2C+TC39...+%20-%2010351123,,frontend-ui-01.md,modern-css-snippet-radar-container-scroll-snap-grid-logical-properties,css-layout-responsive,official_docs,primary,high,high,web-dev-6-css-snippets-every-front-end-developer-should-know-in-2023-ck-subscrib,Official web.dev modern CSS snippets source.,secondary,"Secondary for css-layout-responsive with baseline/design-system/component-development cross-references: official web.dev roundup of useful modern CSS primitives including container queries, scroll snap, grid pile, aspect-ratio, cascade layers, and logical properties; useful support/radar and checklist source, but detailed rules should come from focused sources."
S7QdCNaqFMgg6mtMgPUQEz,:has(): the family selector - Chrome Developers,https://developer.chrome.com/blog/has-m105/?utm_source=CSS-Weekly&utm_campaign=Issue-516&utm_medium=email,,frontend-ui-01.md,html-accessibility-and-interaction,core-html-a11y,official_docs,primary,high,high,developer-chrome-com-blog-has-m105-utm-source-css-weekly-utm-campaign-issue-516-,Official `:has()` selector guide for modern CSS state patterns.,primary,"Use as broader semantic state/parent-context pattern source, not only a11y: parent styling from child/content/focus/error/state conditions; a11y is one use case."
DFw6VdPXpwH4vxZKr8EU34,@storybook-test: more streamlined and powerful testing,https://storybook.js.org/blog/storybook-test/,,testing.md,testing-and-visual-regression,frontend-testing,official_docs,primary,high,medium,storybook-js-org-blog-storybook-test,"Original Storybook URL is 404, but reachable Medium mirror documents useful `@storybook/test` migration context.",secondary,"Historical @storybook/test consolidation source; useful for explicit action spies and migration context, but original canonical URL is dead and exact API details are version-sensitive."
R8uUkK7XeGGQ9QvEhPdWHi,@storybook-test: more streamlined and powerful testing,https://storybook.js.org/blog/storybook-test/,,testing.md,testing-and-visual-regression,frontend-testing,official_docs,duplicate-support,high,medium,storybook-js-org-blog-storybook-test,Exact duplicate of `DFw6VdPXpwH4vxZKr8EU34`; duplicate reason documented in the brief.,secondary,Duplicate handled with `DFw6VdPXpwH4vxZKr8EU34`. Duplicate of DFw6VdPXpwH4vxZKr8EU34.
WV1CJTgNqUcfKj5TqVkNY,A Complete Guide To Live Validation UX — Smashing Magazine,https://www.smashingmagazine.com/2022/09/inline-validation-web-forms-ux/,,frontend-ui-01.md,html-accessibility-and-interaction,core-html-a11y,expert_article,secondary,high,high,www-smashingmagazine-com-2022-09-inline-validation-web-forms-ux,Strong live validation UX source for forms.,primary,"Primary for forms and accessibility: live/inline validation timing, copy-paste tolerance, late validation, recovery paths, and avoiding premature error states."
4gsbJYcqimixCn8c1QFxtE,A Friendly Introduction to SVG • Josh W. Comeau,https://www.joshwcomeau.com/svg/friendly-introduction-to-svg/,,ai-visual-knowledge.md,svg-fundamentals-inline-svg-viewbox-presentational-attributes-and-scalable-assets,design-system,expert_article,secondary,high,medium,www-joshwcomeau-com-svg-friendly-introduction-to-svg,Canonical SVG fundamentals source for visual assets.,primary,"Primary for design-system with svg-graphics/visual-assets cross-reference: strong current SVG fundamentals source covering inline SVG vs img, DOM/CSS addressability, shape primitives, presentational attributes, viewBox, scaling, and readable hand-authored SVG for icons/illustrations."
DWLbMdqiECL5aXGfG4Rpfx,A highly configurable switch component using modern CSS techniques - Piccalilli,https://piccalil.li/blog/a-highly-configurable-switch-component-using-modern-css/,,frontend-ui-01.md,html-accessibility-and-interaction,core-html-a11y,expert_article,duplicate-support,high,high,piccalil-li-blog-a-highly-configurable-switch-component-using-modern-css,Modern CSS switch component guide; exact duplicate with `KievRkc...`.,primary,"Primary for framework-agnostic component-development know-how: custom/native control anatomy, semantic input preservation, focus/state styling, configurable component CSS; not React-specific and not only a11y."
KievRkcUy5BjHimCZm9jFN,A highly configurable switch component using modern CSS techniques - Piccalilli,https://piccalil.li/blog/a-highly-configurable-switch-component-using-modern-css/,,frontend-ui-01.md,html-accessibility-and-interaction,core-html-a11y,expert_article,duplicate-support,high,medium,piccalil-li-blog-a-highly-configurable-switch-component-using-modern-css,Duplicate Piccalilli switch source; deduped under same source group.,primary,"Primary for framework-agnostic component-development know-how: custom/native control anatomy, semantic input preservation, focus/state styling, configurable component CSS; not React-specific and not only a11y."
UeiE6ioLU1UdsHogUZ6EKB,A little semantic HTML trick for React components — Queen Raae,https://queen.raae.codes/emails/2022-10-10-semantic-react/?ck_subscriber_id=1866528194&utm_source=convertkit&utm_medium=email&utm_campaign=%E2%9A%9B%EF%B8%8F+This+Week+In+React+%23220%3A+use+RFC%2C+Sandpack%2C+Progressive+enhancement%2C+Streaming%2C+Storybook%2C+React-Native%2C+Codeflow%2C+Fontaine%2C+Unplugin%2C+Node.js+19%2C+TypeRunner...%20-%209215666,,frontend-ui-01.md,testing-and-visual-regression,react-component,article_or_reference,secondary,medium,medium,queen-raae-codes-emails-2022-10-10-semantic-react-ck-subscriber-id-1866528194-ut,Semantic HTML reminder for React component APIs.,secondary,Retarget to React component: preserve semantic HTML through component APIs.
YNbLiP3ydejFvtxQDKKxAK,Accessible Front-End Patterns For Responsive Tables (Part 1) — Smashing Magazine,https://www.smashingmagazine.com/2022/12/accessible-front-end-patterns-responsive-tables-part1/,,frontend-ui-01.md,responsive-tables-accessibility-comparison-and-layout-pattern-choice,responsive-design,expert_article,secondary,high,high,www-smashingmagazine-com-2022-12-accessible-front-end-patterns-responsive-tables,Strong accessible responsive tables guide.,primary,"Primary for responsive-design with component-development and html-accessibility cross-references: responsive tables have no universal solution; choose layout pattern from data comparison/scanning needs, preserve table semantics, headers, alignment, spacing, visual scanning, and accessibility when transforming tables for small screens."
